Year,Assembly,AAP,Position,Votes,BJP,Position,Votes,Valid Votes,Total Electors,Turnout Percentage,Margin(M1),Margin(M1) Percentage,Vote Split Amongst Other Candidates(M2),Margin(M1-M2),Margin(M1-M2)  Percentage
2020,NERELA,SHARAD KUMAR,1,"86,262",NEEL DAMAN KHATRI,2,"68,833","165,694","253,982",65.24,"17,429",11%,"10,603","6,826",4%
2020,BURARI,SANJEEV JHA,1,"139,598",#N/A,#N/A,#N/A,"222,256","361,703",61.45,#N/A,#N/A,#N/A,#N/A,#N/A
2020,TIMARPUR,DILIP PANDEY,1,"71,432",SURINDER PAL SINGH (BITTOO),2,"47,288","124,011","203,599",60.91,"24,144",19%,"5,292","18,852",15%
2020,ADARSH NAGAR,PAWAN SHARMA,1,"46,892",RAJ KUMAR BHATIA,2,"45,303","103,752","173,416",59.83,"1,589",2%,"11,560","-9,971",-10%
2020,BADLI,AJESH YADAV,1,"69,357",VIJAY KUMAR BHAGAT,2,"40,234","139,638","219,941",63.49,"29,123",21%,"30,050",-927,-1%
2020,RITHALA,MOHINDER GOYAL,1,"87,940",MANISH CHAUDHARY,2,"74,067","167,079","279,653",59.75,"13,873",8%,"5,086","8,787",5%
2020,BAWANA,JAI BHAGWAN,1,"95,715",RAVINDER KUMAR,2,"84,189","197,842","319,559",61.91,"11,526",6%,"17,935","-6,409",-3%
2020,MUNDKA,DHARAMPAL LAKRA,1,"90,293",AZAD SINGH,2,"71,135","167,905","282,984",59.33,"19,158",11%,"6,466","12,692",8%
2020,KIRARI,RITURAJ GOVIND,1,"86,312",ANIL JHA,2,"80,658","173,432","273,856",63.33,"5,654",3%,"6,463",-809,0%
2020,SULTANPUR MAJRA,MUKESH KUMAR AHLAWAT,1,"74,573",Ram Chander Chawriya,2,"26,521","112,125","175,622",63.84,"48,052",43%,"11,023","37,029",33%
2020,NANGLOI JAT,RAGHUVINDER SHOKEEN,1,"74,444",SUMAN LATA,2,"62,820","151,272","266,339",56.8,"11,624",8%,"14,017","-2,393",-2%
2020,MANGOL PURI,RAKHI BIRLA,1,"74,154",KARAM SINGH KARMA,2,"44,038","126,685","190,728",66.42,"30,116",24%,"8,490","21,626",17%
