State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Delhi,11,1,2020,2,4,0,1,SHARAD KUMAR,M,AAAP,86262,44,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,52.06,no,17429,10.52,2.27,AEDL101587,State-based Party,13,TRUE,3,AAAP,13,NERELA,FALSE,TRUE,2,FALSE,TRUE,TRUE,10th Pass,Agriculture,,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,2,NEEL DAMAN KHATRI,M,BJP,68833,49,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,41.54,no,62563,37.76,2.27,AEDL100776,National Party,1605,TRUE,3,BJP,1605,NERELA,FALSE,TRUE,1,FALSE,FALSE,TRUE,10th Pass,Business,,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,3,SIDDHARTH KUNDU,M,INC,6270,41,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,3.78,yes,5188,3.13,2.27,AEDLJA140,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Business,Rent,Liberal Profession or Professional,Lawyer,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,4,RAJBALA SAINI,F,LTSP,1082,44,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.65,yes,261,0.16,2.27,AEDLJA324,Local Party,24516,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Other,Household,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,5,MAHENDER CHAUDHARY,M,BSP,821,44,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.5,yes,68,0.04,2.27,AEDLJA58,State-based Party (Other State),16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Other,,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,6,NOTA,,NOTA,753,,,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.45,,149,0.09,2.27,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,7,NAR SINGH,M,SHtP,604,39,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.36,yes,109,0.07,2.27,AEDLJA226,Local Party,24552,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Business,,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,8,SULESH KUMAR,M,AAPP,495,50,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.3,yes,315,0.19,2.27,AEDLJA403,Local Party,18403,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Business,,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,9,SURESH KUMAR,M,PPID,180,61,SC,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.11,yes,29,0.02,2.27,AEDLJA362,Local Party,6054,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Other,,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,10,ADITI,F,IND,151,26,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.09,yes,13,0.01,2.27,GEDL100194,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Social Work,Activist,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,11,CHAND RAM,M,RAJSPty,138,57,GEN,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.08,yes,33,0.02,2.27,AEDLJA186,Local Party,6889,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Other,,,,State Assembly Election (AE)
Delhi,11,1,2020,2,4,0,12,RAMESH KUMAR,M,BSNP,105,54,SC,165694,253982,NERELA,GEN,NORTH WEST DELHI,NORTH WEST DELHI,11,65.24,0.06,yes,0,0,2.27,AEDLJA305,Local Party,24495,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Labourer or Daily Wage,Taxi Driver,,,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,1,SANJEEV JHA,M,AAAP,139598,40,GEN,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,62.81,no,88158,39.67,2.22,AEDL100790,State-based Party,13,TRUE,3,AAAP,13,BURARI,TRUE,TRUE,3,FALSE,TRUE,TRUE,Graduate,Politics,MLA,Social Work,,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,2,SHAILENDRA KUMAR,M,JD(U),51440,60,GEN,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,23.14,no,33396,15.03,2.22,AEDLJA480,State-based Party (Other State),11002,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,,Politics,Party Worker,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,3,DHARAM VEER,M,SHS,18044,70,SC,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,8.12,yes,15766,7.09,2.22,AEDLJA448,State-based Party (Other State),18691,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Illiterate,Labourer or Daily Wage,,,,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,4,PRAMOD TYAGI,M,RJD,2278,56,GEN,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,1.02,yes,409,0.18,2.22,AEDLJA465,State-based Party (Other State),12103,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,Real Estate or Builder or Developer or Construction,Agriculture,,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,5,GANGA RAM,M,BSP,1869,56,SC,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,0.84,yes,625,0.28,2.22,AEDL102288,State-based Party (Other State),16651,TRUE,2,BSP,16651,TRILOKPURI,FALSE,TRUE,0,FALSE,FALSE,FALSE,10th Pass,Small Business or Self-employed,Self-employed,,,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,6,RANJEET SINGH,M,UKKD,1244,42,GEN,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,0.56,yes,34,0.02,2.22,AEDLJA474,Local Party,13023,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Business,,,,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,7,ANIL KUMAR YADAV,M,BSNP,1210,28,GEN,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,0.54,yes,4,0,2.22,AEDLJA105,Local Party,24495,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Small Business or Self-employed,,,,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,8,NOTA,,NOTA,1206,,,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,0.54,,400,0.18,2.22,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Delhi,11,2,2020,2,4,0,9,MANOJ RAI,M,AAPP,806,37,GEN,222256,361703,BURARI,GEN,NORTH EAST DELHI,NORTH EAST DELHI,22,61.45,0.36,yes,130,0.06,2.22,AEDLJA469,Local Party,18403,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Other,,,,State Assembly Election (AE)
